,0,1,2,3,4,5,6,7,8,9
0,0,1,1,3,5,4,0,0,0,0
1,0,1,1,3,5,4,2,2,2,2
2,0,1,1,3,5,5,4,0,0,0
3,0,1,1,3,5,5,4,2,2,2
4,0,1,1,3,5,5,5,4,0,0
5,0,1,1,3,5,5,5,4,2,2
6,0,1,1,3,5,5,5,5,4,0
7,0,1,1,3,5,5,5,5,4,2
8,0,1,1,3,5,5,5,5,5,4
9,0,1,1,3,5,5,5,5,5,5
10,0,0,1,1,3,5,4,0,0,0
11,0,0,1,1,3,5,4,2,2,2
12,0,0,1,1,3,5,5,4,0,0
13,0,0,1,1,3,5,5,4,2,2
14,0,0,1,1,3,5,5,5,4,0
15,0,0,1,1,3,5,5,5,4,2
16,0,0,1,1,3,5,5,5,5,4
17,0,0,1,1,3,5,5,5,5,5
18,0,0,0,1,1,3,5,4,0,0
19,0,0,0,1,1,3,5,4,2,2
20,0,0,0,1,1,3,5,5,4,0
21,0,0,0,1,1,3,5,5,4,2
22,0,0,0,1,1,3,5,5,5,4
23,0,0,0,1,1,3,5,5,5,5
24,0,0,0,0,1,1,3,5,4,0
25,0,0,0,0,1,1,3,5,4,2
26,0,0,0,0,1,1,3,5,5,4
27,0,0,0,0,1,1,3,5,5,5
28,0,0,0,0,0,1,1,3,5,4
29,0,0,0,0,0,1,1,3,5,5
30,0,0,0,0,0,0,1,1,3,5
31,0,0,0,0,0,0,0,1,1,3
32,0,0,0,0,0,0,0,0,1,1
33,0,0,0,0,0,0,0,0,0,1
34,0,0,0,0,0,0,0,0,0,0
35,1,1,3,5,4,0,0,0,0,0
36,1,1,3,5,4,2,2,2,2,2
37,1,1,3,5,5,4,0,0,0,0
38,1,1,3,5,5,4,2,2,2,2
39,1,1,3,5,5,5,4,0,0,0
40,1,1,3,5,5,5,4,2,2,2
41,1,1,3,5,5,5,5,4,0,0
42,1,1,3,5,5,5,5,4,2,2
43,1,1,3,5,5,5,5,5,4,0
44,1,1,3,5,5,5,5,5,4,2
45,1,1,3,5,5,5,5,5,5,4
46,1,1,3,5,5,5,5,5,5,5
47,2,2,3,5,4,0,0,0,0,0
48,2,2,3,5,4,2,2,2,2,2
49,2,2,3,5,5,4,0,0,0,0
50,2,2,3,5,5,4,2,2,2,2
51,2,2,3,5,5,5,4,0,0,0
52,2,2,3,5,5,5,4,2,2,2
53,2,2,3,5,5,5,5,4,0,0
54,2,2,3,5,5,5,5,4,2,2
55,2,2,3,5,5,5,5,5,4,0
56,2,2,3,5,5,5,5,5,4,2
57,2,2,3,5,5,5,5,5,5,4
58,2,2,3,5,5,5,5,5,5,5
59,2,2,2,3,5,4,0,0,0,0
60,2,2,2,3,5,4,2,2,2,2
61,2,2,2,3,5,5,4,0,0,0
62,2,2,2,3,5,5,4,2,2,2
63,2,2,2,3,5,5,5,4,0,0
64,2,2,2,3,5,5,5,4,2,2
65,2,2,2,3,5,5,5,5,4,0
66,2,2,2,3,5,5,5,5,4,2
67,2,2,2,3,5,5,5,5,5,4
68,2,2,2,3,5,5,5,5,5,5
69,2,2,2,2,3,5,4,0,0,0
70,2,2,2,2,3,5,4,2,2,2
71,2,2,2,2,3,5,5,4,0,0
72,2,2,2,2,3,5,5,4,2,2
73,2,2,2,2,3,5,5,5,4,0
74,2,2,2,2,3,5,5,5,4,2
75,2,2,2,2,3,5,5,5,5,4
76,2,2,2,2,3,5,5,5,5,5
77,2,2,2,2,2,3,5,4,0,0
78,2,2,2,2,2,3,5,4,2,2
79,2,2,2,2,2,3,5,5,4,0
80,2,2,2,2,2,3,5,5,4,2
81,2,2,2,2,2,3,5,5,5,4
82,2,2,2,2,2,3,5,5,5,5
83,2,2,2,2,2,2,3,5,4,0
84,2,2,2,2,2,2,3,5,4,2
85,2,2,2,2,2,2,3,5,5,4
86,2,2,2,2,2,2,3,5,5,5
